symbol,companyName,fyFrom,fyTo,submissionDate,element,value,contextRef,period,dimensions,unit,decimals
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,AssessmentOrAssuranceProviderDomain,AssessmentOrAssuranceProviderDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StockExchangeDomain,StockExchange1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StockExchangeDomain,StockExchange2,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain2,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain,HoldingSubsidiaryAssociateCompaniesAndJointVenturesDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,OtherStakeHolderDomain,OtherStakeHolderDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,EntitysMaterialResponsibleBusinessConductIssuesDomain,EntitysMaterialResponsibleBusinessConductIssuesDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,PenaltyOrFineDomain,PenaltyOrFineDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,SettlementDomain,SettlementDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,CompoundingDomain,CompoundingDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,ImprisonmentDomain,ImprisonmentDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,PunishmentDomain,PunishmentDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,AwarenessProgrammesConductedForValueChainPartnersDomain,AwarenessProgrammesConductedForValueChainPartnersDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain1,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain2,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain3,, to ,,,
BHARTIHEXA,Bharti Hexacom Limited,2024,2025,25-Jul-2025,StakeHolderGroupsDomain,StakeHolderGroupsDomain4,, to ,,,
